date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-11-15,4008.0,4008.0,2079.0,2961.0,1059659007584,186000000,817351,520.0,2079.0
2023-11-18,3108.0,3108.0,3108.0,3108.0,68145389000,11395550,2919,2961.0,3108.0
2023-11-19,3259.0,3259.0,3259.0,3259.0,54488475690,8690347,4680,3108.0,3259.0
2023-11-20,3420.0,3420.0,3420.0,3420.0,52126121740,7921903,8764,3259.0,3420.0
2023-11-21,3587.0,3587.0,3587.0,3587.0,59532199500,8627855,10251,3420.0,3587.0
2023-11-22,3763.0,3763.0,3763.0,3763.0,637976520960,88118304,101558,3587.0,3763.0
2023-11-25,3950.0,3950.0,3576.0,3940.0,380523794400,50199839,136382,3763.0,3950.0
2023-11-26,4132.0,4132.0,4132.0,4132.0,128840403000,16206340,22715,3940.0,4132.0
2023-11-27,4335.0,4335.0,4221.0,4330.0,429737784410,51597170,81694,4132.0,4335.0
2023-11-28,4309.0,4543.0,4132.0,4444.0,456469990230,53398540,64805,4330.0,4543.0
2023-12-02,4663.0,4663.0,4631.0,4663.0,215690375100,24046474,11684,4444.0,4663.0
2023-12-03,4886.0,4891.0,4678.0,4881.0,408191416650,43478787,28367,4663.0,4891.0
2023-12-04,5089.0,5120.0,4990.0,5115.0,231820612600,23570969,11121,4881.0,5120.0
2023-12-05,5318.0,5370.0,5318.0,5364.0,169150708870,16396599,2750,5115.0,5370.0
2023-12-09,5629.0,5629.0,5629.0,5629.0,141832907340,13096298,6140,5364.0,5629.0
2023-12-10,5666.0,5874.0,5349.0,5453.0,907731902540,86560148,57197,5629.0,5349.0
2023-12-11,5276.0,5723.0,5260.0,5635.0,669476493600,61762611,24104,5453.0,5723.0
2023-12-12,5718.0,5811.0,5484.0,5640.0,424275497060,39114366,20973,5635.0,5588.0
2023-12-13,5640.0,5920.0,5572.0,5858.0,718888477510,63797064,16461,5640.0,5920.0
2023-12-16,6004.0,6149.0,5952.0,6134.0,270926907160,22961107,5461,5858.0,6149.0
2023-12-19,6134.0,6435.0,6134.0,6253.0,133255434830,11079583,1398,6134.0,6435.0
2023-12-20,6316.0,6565.0,6316.0,6523.0,480873015860,38331548,8215,6253.0,6565.0
2023-12-23,6726.0,6846.0,6497.0,6757.0,996189539570,76610745,17801,6523.0,6601.0
2023-12-24,6581.0,6627.0,6419.0,6456.0,598081218260,48162726,21804,6757.0,6456.0
2023-12-25,6523.0,6757.0,6232.0,6549.0,459894836130,36504104,14138,6456.0,6685.0
2023-12-26,6705.0,6877.0,6685.0,6856.0,644954709330,48878869,8637,6549.0,6877.0
2023-12-27,7028.0,7194.0,6856.0,7132.0,368563036110,26868374,13087,6856.0,7194.0
2023-12-30,7485.0,7485.0,7381.0,7485.0,172757840560,11997782,2519,7132.0,7485.0
2023-12-31,7859.0,7859.0,7859.0,7859.0,109938003840,7271032,1675,7485.0,7859.0
2024-01-01,8249.0,8249.0,8249.0,8249.0,117867632640,7427072,2592,7859.0,8249.0
2024-01-02,8660.0,8660.0,7839.0,8124.0,1283943623630,82142487,7785,8249.0,8260.0
2024-01-08,8369.0,8530.0,8213.0,8509.0,1137566155310,69502458,9239,8124.0,8530.0
2024-01-09,8733.0,8764.0,8088.0,8436.0,798332867940,49179668,16507,8509.0,8509.0
2024-01-10,8644.0,8857.0,8525.0,8779.0,586871081940,34737929,8982,8436.0,8857.0
2024-01-13,9200.0,9216.0,8863.0,9180.0,574350455310,32521181,7242,8779.0,9216.0
2024-01-16,9637.0,9637.0,9637.0,9637.0,161945528040,8734926,1318,9180.0,9637.0
2024-01-27,9876.0,10115.0,9159.0,9767.0,966889803440,51450990,9816,9637.0,9377.0
2024-01-28,9356.0,10152.0,9294.0,9798.0,827970502310,43918691,15876,9767.0,9788.0
2024-01-29,9824.0,10287.0,9824.0,10261.0,1029011677120,52119464,8028,9798.0,10287.0
2024-01-30,10443.0,10770.0,9902.0,10593.0,748780456600,36743617,10710,10261.0,10770.0
2024-01-31,11113.0,11118.0,10713.0,11061.0,684225751610,32160811,7537,10593.0,11118.0
2024-02-03,11332.0,11591.0,11254.0,11565.0,652755939000,29338450,4856,11061.0,11591.0
2024-02-04,11955.0,12137.0,10994.0,11436.0,865353746950,39373701,5349,11565.0,10994.0
2024-02-05,10864.0,10864.0,10864.0,10864.0,245723557200,11757108,650,11436.0,10864.0
2024-02-06,10344.0,10344.0,10344.0,10344.0,179688443000,9029570,377,10864.0,10344.0
2024-02-07,9850.0,9850.0,9850.0,9850.0,360130613300,19004254,690,10344.0,9850.0
2024-02-10,9362.0,10339.0,9362.0,9705.0,1668439465890,89386444,15980,9850.0,10146.0
2024-02-12,10188.0,10188.0,9221.0,9777.0,1426727408870,75856392,14921,9705.0,9533.0
2024-02-13,9294.0,9985.0,9289.0,9476.0,1068011419200,58600424,11392,9777.0,9429.0
2024-02-14,9403.0,9949.0,9278.0,9861.0,1090400467920,57473245,9672,9476.0,9949.0
2024-02-17,10292.0,10349.0,10136.0,10334.0,272799917920,13720334,1840,9861.0,10349.0
2024-02-19,10848.0,10848.0,10848.0,10848.0,195815008090,9382607,932,10334.0,10848.0
2024-02-24,11384.0,11384.0,10526.0,11254.0,1263494039400,58298511,8430,10848.0,11384.0
2024-02-26,11332.0,11799.0,11020.0,11721.0,529059606500,23462673,4837,11254.0,11799.0
2024-03-02,12293.0,12293.0,12293.0,12293.0,143285653500,6058590,969,11721.0,12293.0
2024-03-10,12891.0,12891.0,11851.0,12761.0,747774750150,30482672,4466,12293.0,11955.0
2024-03-11,12137.0,13385.0,12137.0,12969.0,938219571250,37569859,7990,12761.0,13385.0
2024-03-12,13463.0,13593.0,12969.0,13541.0,865700761200,33258557,6946,12969.0,13593.0
2024-03-13,13879.0,13957.0,12865.0,13099.0,841672632750,33374836,7424,13541.0,12865.0
2024-03-16,12839.0,13697.0,12839.0,13489.0,401021567000,15442015,4371,13099.0,13515.0
2024-03-18,14087.0,14113.0,13645.0,14009.0,173194798700,6424654,1890,13489.0,14035.0
2024-03-24,14138.0,14684.0,13437.0,14372.0,507161321900,18347739,5678,14009.0,13619.0
2024-03-25,13671.0,14528.0,13671.0,13723.0,729965091650,27661125,6495,14372.0,13671.0
2024-03-26,13619.0,13853.0,13047.0,13099.0,525299444950,20861662,3261,13723.0,13047.0
2024-03-27,12449.0,13723.0,12449.0,12709.0,1097845860900,44883065,9757,13099.0,13099.0
2024-03-30,12995.0,13333.0,12397.0,12943.0,404417352250,16251090,5198,12709.0,12527.0
2024-04-02,12319.0,12527.0,12319.0,12319.0,413441494500,17443023,3134,12943.0,12319.0
2024-04-03,11721.0,12631.0,11721.0,11851.0,665866291100,29236298,6964,12319.0,11747.0
2024-04-06,11747.0,11929.0,11280.0,11358.0,463024456450,21212637,3010,11851.0,11280.0
2024-04-07,10942.0,11150.0,10812.0,10838.0,553584347000,26564401,3555,11358.0,10812.0
2024-04-08,10864.0,11358.0,10864.0,11306.0,327721001650,15050664,2359,10838.0,11358.0
2024-04-09,11799.0,11851.0,11358.0,11825.0,591514553600,25989979,3189,11306.0,11851.0
2024-04-13,11695.0,11695.0,11254.0,11254.0,455944672300,21040192,2832,11825.0,11254.0
2024-04-14,11150.0,11150.0,11150.0,11150.0,52503787050,2447729,129,11254.0,11150.0
2024-04-15,11254.0,11254.0,11254.0,11254.0,53123146250,2453725,706,11150.0,11254.0
2024-04-16,11358.0,11358.0,11150.0,11254.0,297764957000,13762876,1951,11254.0,11358.0
2024-04-17,11358.0,11358.0,11358.0,11358.0,66572448900,3046794,500,11254.0,11358.0
2024-04-20,11903.0,11903.0,11903.0,11903.0,38735853800,1691522,561,11358.0,11903.0
2024-04-21,12475.0,12475.0,12319.0,12475.0,600688935000,25036079,2234,11903.0,12345.0
2024-04-22,12215.0,13099.0,11955.0,12917.0,635216068650,25544835,3828,12475.0,13099.0
2024-04-23,13359.0,13541.0,13151.0,13515.0,646246125300,24846020,3940,12917.0,13541.0
2024-04-24,13697.0,14190.0,12917.0,13593.0,495060053250,18937278,5490,13515.0,13359.0
2024-04-27,13255.0,13905.0,12917.0,13151.0,486519868400,19240911,4611,13593.0,12917.0
2024-04-28,13021.0,13047.0,12501.0,12527.0,435233258150,18072412,3101,13151.0,12527.0
2024-04-29,12527.0,13047.0,11903.0,12293.0,349141926550,14754935,4050,12527.0,12033.0
