date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-02-03,1959.0,2059.0,1959.0,2057.0,4095411385105,199999449,3726219,100.0,2059.0
2021-02-06,2160.0,2160.0,2160.0,2090.0,16611523500,772629,15149,2057.0,2160.0
2021-02-07,2194.0,2194.0,2194.0,2167.0,39271384778,1798058,13844,2090.0,2194.0
2021-02-08,2275.0,2275.0,2275.0,2245.0,39816205310,1758278,14178,2167.0,2275.0
2021-02-09,2357.0,2357.0,2357.0,2342.0,49858247700,2125245,16087,2245.0,2357.0
2021-02-13,2483.0,2483.0,2483.0,2483.0,58745494717,2377109,24710,2342.0,2483.0
2021-02-14,2632.0,2632.0,2632.0,2632.0,62666796205,2392319,23693,2483.0,2632.0
2021-02-15,2789.0,2789.0,2789.0,2789.0,110633266042,3984487,29427,2632.0,2789.0
2021-02-16,2957.0,2957.0,2957.0,2957.0,159833080163,5430773,54114,2789.0,2957.0
2021-02-17,3134.0,3134.0,2898.0,3134.0,372591348462,11943566,164121,2957.0,3134.0
2021-02-22,3071.0,3071.0,3071.0,3071.0,81754403256,2674072,687,3134.0,3071.0
2021-02-23,3010.0,3011.0,3010.0,3010.0,591571053154,19744009,53521,3071.0,3010.0
2021-02-24,2950.0,3068.0,2950.0,2967.0,760987398092,25763456,151311,3010.0,2975.0
2021-02-27,2908.0,2928.0,2908.0,2908.0,232432774102,8029073,35203,2967.0,2908.0
2021-02-28,2850.0,2850.0,2850.0,2850.0,119261044875,4203625,11372,2908.0,2850.0
2021-03-01,2793.0,3021.0,2793.0,2918.0,1221729396345,42055582,341533,2850.0,2979.0
2021-03-02,2979.0,3094.0,2979.0,3081.0,1135870663736,37040017,313517,2918.0,3094.0
2021-03-03,3205.0,3266.0,3114.0,3254.0,1508078473919,46563456,170259,3081.0,3266.0
2021-03-06,3189.0,3396.0,3189.0,3249.0,1568208523519,48490339,158335,3254.0,3205.0
2021-03-07,3197.0,3305.0,3184.0,3207.0,756551262095,23698240,61288,3249.0,3184.0
2021-03-08,3196.0,3265.0,3144.0,3184.0,627250232442,19792826,130614,3207.0,3172.0
2021-03-09,3144.0,3280.0,3144.0,3229.0,501789613238,15613606,110154,3184.0,3215.0
2021-03-10,3215.0,3422.0,3164.0,3357.0,516489518137,15455024,41567,3229.0,3422.0
2021-03-13,3559.0,3559.0,3484.0,3558.0,342868302463,9680709,22108,3357.0,3559.0
2021-03-14,3772.0,3772.0,3599.0,3718.0,1125775033166,30418150,38234,3558.0,3617.0
2021-03-15,3644.0,3898.0,3644.0,3725.0,1047255480673,28244440,38254,3718.0,3697.0
2021-03-16,3703.0,3818.0,3661.0,3727.0,473717842605,12768516,28959,3725.0,3728.0
2021-03-17,3718.0,3808.0,3659.0,3736.0,490333773923,13185767,26116,3727.0,3772.0
2021-03-27,3802.0,3948.0,3773.0,3853.0,322176811274,8400341,21266,3736.0,3823.0
2021-03-28,3797.0,3898.0,3776.0,3785.0,266363712102,7069189,15015,3853.0,3776.0
2021-03-30,3767.0,3797.0,3710.0,3717.0,227581220661,6150290,8751,3785.0,3710.0
2021-03-31,3647.0,3716.0,3643.0,3647.0,88724175055,2443981,3178,3717.0,3643.0
2021-04-03,3574.0,3574.0,3574.0,3644.0,2372843592,66696,93,3647.0,3574.0
2021-04-04,3571.0,3571.0,3571.0,3643.0,541142175,15225,43,3644.0,3571.0
2021-04-05,3570.0,3570.0,3570.0,3640.0,1858551570,52302,54,3643.0,3570.0
2021-04-06,3567.0,3567.0,3567.0,3639.0,963545088,27136,55,3640.0,3567.0
2021-04-07,3566.0,3566.0,3566.0,3638.0,412830714,11631,32,3639.0,3566.0
2021-04-10,3565.0,3565.0,3565.0,3637.0,329541568,9286,33,3638.0,3565.0
2021-04-11,3565.0,3565.0,3565.0,3583.0,36465985549,1027703,102,3637.0,3565.0
2021-04-12,3512.0,3512.0,3512.0,3535.0,32700647185,935507,69,3583.0,3512.0
2021-04-13,3464.0,3464.0,3464.0,3476.0,39507096342,1145731,182,3535.0,3464.0
2021-04-14,3407.0,3407.0,3407.0,3475.0,1020216260,30086,29,3476.0,3407.0
2021-04-17,3405.0,3405.0,3405.0,3460.0,10663173160,314585,40,3475.0,3405.0
2021-04-18,3391.0,3391.0,3391.0,3450.0,6921717406,205094,39,3460.0,3391.0
2021-04-19,3381.0,3381.0,3381.0,3440.0,7020453289,208613,29,3450.0,3381.0
2021-04-20,3371.0,3371.0,3371.0,3435.0,3646127848,108658,28,3440.0,3371.0
2021-04-21,3332.0,3332.0,3332.0,3420.0,6975549940,210335,25,3435.0,3332.0
2021-04-24,3317.0,3317.0,3317.0,3419.0,138151496,4184,21,3420.0,3317.0
2021-04-25,3317.0,3317.0,3317.0,3402.0,8444964544,255784,22,3419.0,3317.0
2021-04-26,3300.0,3300.0,3300.0,3400.0,655106424,19946,31,3402.0,3300.0
2021-04-27,3298.0,3298.0,3298.0,3314.0,40694656310,1239557,164,3400.0,3298.0
2021-04-28,3215.0,3215.0,3215.0,3215.0,59741557018,1866982,183,3314.0,3215.0
2021-05-01,3118.0,3118.0,3118.0,3214.0,367079040,11826,43,3215.0,3118.0
2021-05-02,3118.0,3118.0,3118.0,3213.0,231630312,7464,14,3214.0,3118.0
