date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-30,82.0,82.0,82.0,82.0,719964000,719964,45,82.0,82.0
2013-11-30,82.0,82.0,82.0,82.0,20000000,20000,1,82.0,82.0
2013-12-03,82.0,82.0,82.0,82.0,288200000,288200,26,82.0,82.0
2013-12-11,82.0,82.0,82.0,82.0,45000000,45000,1,82.0,82.0
2014-03-04,84.0,84.0,84.0,84.0,234830000,230000,9,82.0,84.0
2014-03-10,84.0,84.0,84.0,84.0,40800000,40000,2,84.0,84.0
2014-05-17,82.0,82.0,82.0,82.0,1050500000,1050500,36,84.0,82.0
2014-05-21,82.0,82.0,82.0,82.0,79285000,79285,6,82.0,82.0
2014-05-25,82.0,82.0,82.0,82.0,5000000,5000,2,82.0,82.0
2014-05-26,82.0,82.0,82.0,82.0,581284000,581284,1,82.0,82.0
2014-07-06,82.0,82.0,82.0,82.0,3114000,3114,1,82.0,82.0
2014-08-26,82.0,82.0,82.0,82.0,134000000,134000,10,82.0,82.0
2014-09-09,99.0,99.0,99.0,99.0,1323360000,1102800,2,82.0,99.0
2014-10-14,99.0,99.0,99.0,99.0,120000000,100000,6,99.0,99.0
2014-10-15,99.0,99.0,99.0,99.0,24000000,20000,1,99.0,99.0
2014-11-23,82.0,99.0,82.0,97.0,92800000,79000,10,99.0,99.0
2014-12-06,82.0,99.0,82.0,95.0,252396000,217596,12,97.0,99.0
2014-12-16,99.0,99.0,99.0,99.0,12000000,10000,1,95.0,99.0
2015-01-19,99.0,99.0,99.0,99.0,78351600,65293,4,99.0,99.0
2015-01-26,99.0,99.0,99.0,99.0,1800000,1500,1,99.0,99.0
2015-06-23,99.0,99.0,99.0,99.0,63513600,52928,9,99.0,99.0
2016-05-10,99.0,99.0,99.0,99.0,103880400,86567,8,99.0,99.0
2016-11-02,99.0,99.0,99.0,99.0,1208400,1007,1,99.0,99.0
2017-01-14,101.0,101.0,101.0,101.0,244000,200,2,99.0,101.0
2017-02-13,99.0,99.0,99.0,99.0,12000000,10000,1,101.0,99.0
2017-04-09,99.0,99.0,99.0,99.0,108000,90,1,99.0,99.0
2017-04-24,109.0,109.0,109.0,109.0,17028000,12900,2,99.0,109.0
2017-04-26,109.0,112.0,109.0,109.0,37608000,28450,3,109.0,112.0
2017-04-29,116.0,120.0,116.0,117.0,6540500,4600,4,109.0,120.0
2017-05-01,129.0,129.0,129.0,129.0,15483600,9900,3,117.0,129.0
2017-05-02,129.0,129.0,129.0,129.0,15640000,10000,3,129.0,129.0
2017-05-22,128.0,128.0,128.0,128.0,27900000,18000,1,129.0,128.0
2017-05-23,124.0,124.0,124.0,124.0,1500000,1000,1,128.0,124.0
2017-06-07,111.0,111.0,111.0,111.0,6750000,5000,1,124.0,111.0
2017-06-10,123.0,123.0,123.0,123.0,19305000,13000,5,111.0,123.0
2017-06-11,135.0,135.0,135.0,135.0,37477350,22950,8,123.0,135.0
2017-06-20,148.0,148.0,148.0,148.0,11584200,6450,2,135.0,148.0
2017-06-24,163.0,163.0,163.0,163.0,24093025,12199,6,148.0,163.0
2017-07-05,179.0,179.0,179.0,179.0,23900688,11004,6,163.0,179.0
2017-07-09,197.0,197.0,197.0,197.0,341627000,143000,12,179.0,197.0
2017-07-10,217.0,217.0,217.0,217.0,301777202,114876,14,197.0,217.0
2017-07-12,239.0,239.0,239.0,239.0,185933151,64359,13,217.0,239.0
2017-07-15,262.0,262.0,262.0,262.0,31477716,9908,6,239.0,262.0
2017-07-17,289.0,289.0,288.0,289.0,379919925,108748,22,262.0,289.0
2017-09-06,182.0,281.0,182.0,277.0,28191700,10053,7,289.0,281.0
2017-09-11,277.0,363.0,248.0,275.0,32801429,10021,10,277.0,280.0
2017-09-12,309.0,309.0,306.0,281.0,32596229,8739,11,275.0,306.0
2017-09-17,248.0,289.0,248.0,269.0,220955245,67886,16,281.0,289.0
2017-09-18,296.0,296.0,269.0,289.0,15262330,4366,5,269.0,269.0
2017-09-19,260.0,305.0,260.0,283.0,193858767,56590,34,289.0,293.0
2017-09-23,255.0,256.0,255.0,255.0,30518164,9877,9,283.0,255.0
