date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-02-05,859.0,859.0,859.0,859.0,1449181865500,49124809,1292789,29.0,859.0
2020-02-08,902.0,902.0,902.0,902.0,2284685025,73759,2069,859.0,902.0
2020-02-09,947.0,947.0,947.0,947.0,2209905327,67949,1898,902.0,947.0
2020-02-10,994.0,994.0,994.0,994.0,2954298288,86512,2535,947.0,994.0
2020-02-12,1044.0,1044.0,1044.0,1044.0,2226514176,62096,1816,994.0,1044.0
2020-02-15,1096.0,1096.0,1096.0,1096.0,4804035392,127604,2461,1044.0,1096.0
2020-02-16,1151.0,1151.0,1151.0,1151.0,4029490550,101935,2818,1096.0,1151.0
2020-02-17,1208.0,1208.0,1208.0,1208.0,6024886442,145157,3288,1151.0,1208.0
2020-02-18,1268.0,1268.0,1268.0,1268.0,6954830304,159584,4557,1208.0,1268.0
2020-02-19,1332.0,1332.0,1332.0,1332.0,2074072000,45325,1294,1268.0,1332.0
2020-02-24,1398.0,1468.0,1398.0,1468.0,169210327748,3355763,6067,1332.0,1468.0
2020-02-25,1541.0,1541.0,1541.0,1541.0,14645963570,276626,4287,1468.0,1541.0
2020-02-26,1618.0,1618.0,1618.0,1618.0,189407725568,3407104,7239,1541.0,1618.0
2020-02-29,1699.0,1699.0,1699.0,1699.0,43211000622,740282,12649,1618.0,1699.0
2020-03-01,1784.0,1784.0,1784.0,1784.0,207572543287,3386783,8062,1699.0,1784.0
2020-03-02,1873.0,1967.0,1873.0,1958.0,62001210081,921643,13308,1784.0,1967.0
2020-03-03,2056.0,2056.0,2056.0,2056.0,63643900875,901025,16269,1958.0,2056.0
2020-03-04,2159.0,2159.0,2159.0,2106.0,32655957294,440309,13676,2056.0,2159.0
2020-03-07,2211.0,2211.0,2001.0,2211.0,163797271716,2155747,53679,2106.0,2211.0
2020-03-09,2322.0,2438.0,2322.0,2427.0,1085055215998,13011216,79131,2211.0,2438.0
2020-03-10,2442.0,2549.0,2306.0,2504.0,1683637683391,19573578,233585,2427.0,2455.0
2020-03-11,2502.0,2502.0,2378.0,2407.0,641949588868,7762562,108773,2504.0,2378.0
2020-03-14,2287.0,2287.0,2287.0,2324.0,32874005904,418436,1743,2407.0,2287.0
2020-03-15,2208.0,2208.0,2208.0,2208.0,75970918362,1001647,787,2324.0,2208.0
2020-03-16,2308.0,2318.0,2097.0,2227.0,677382436195,8853254,88064,2208.0,2257.0
2020-03-17,2238.0,2264.0,2116.0,2173.0,532107748660,7127381,49635,2227.0,2174.0
2020-03-18,2197.0,2282.0,2177.0,2256.0,407143487820,5252701,27690,2173.0,2282.0
2020-03-24,2331.0,2369.0,2241.0,2314.0,246046736077,3094377,23109,2256.0,2369.0
2020-03-25,2401.0,2430.0,2381.0,2418.0,124228583676,1495130,8501,2314.0,2430.0
2020-03-28,2539.0,2539.0,2539.0,2529.0,47991763599,550093,5217,2418.0,2539.0
2020-03-29,2655.0,2655.0,2402.0,2578.0,466807886775,5270370,18750,2529.0,2578.0
2020-03-30,2561.0,2649.0,2449.0,2526.0,512995881554,5909997,32178,2578.0,2525.0
2020-04-04,2526.0,2619.0,2445.0,2500.0,488305843167,5684035,37156,2526.0,2456.0
2020-04-05,2422.0,2436.0,2375.0,2387.0,111477887277,1359464,6596,2500.0,2375.0
2020-04-06,2267.0,2503.0,2267.0,2377.0,532408443339,6520240,53009,2387.0,2411.0
2020-04-07,2404.0,2495.0,2404.0,2473.0,409931704253,4824591,46492,2377.0,2444.0
2020-04-08,2518.0,2518.0,2349.0,2409.0,391232459529,4726597,43829,2473.0,2367.0
2020-04-11,2329.0,2387.0,2289.0,2309.0,360816728831,4548867,25782,2409.0,2289.0
2020-04-12,2244.0,2369.0,2244.0,2308.0,260078475770,3280209,20644,2309.0,2276.0
2020-04-13,2281.0,2314.0,2212.0,2242.0,204829539667,2659563,15286,2308.0,2224.0
