date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-02-08,14.0,14.0,14.0,14.0,643428000,134000,31,14.0,14.0
2003-02-22,14.0,14.0,14.0,14.0,4800000,1000,1,14.0,14.0
2003-02-24,14.0,14.0,14.0,14.0,480000,100,1,14.0,14.0
2003-02-26,14.0,14.0,14.0,14.0,66720000,13900,2,14.0,14.0
2003-03-16,14.0,14.0,14.0,14.0,2476800000,516000,1,14.0,14.0
2003-03-18,14.0,14.0,14.0,14.0,9600000,2000,1,14.0,14.0
2003-03-19,14.0,14.0,14.0,14.0,120000,25,2,14.0,14.0
2003-05-03,14.0,14.0,14.0,14.0,4799000,1000,1,14.0,14.0
2003-05-04,14.0,14.0,14.0,14.0,9600000,2000,1,14.0,14.0
2003-05-10,13.0,13.0,13.0,13.0,4446000,975,1,14.0,13.0
2003-05-12,13.0,13.0,13.0,13.0,13994640,3069,3,13.0,13.0
2003-05-13,13.0,13.0,13.0,13.0,8805360,1931,1,13.0,13.0
2003-05-14,13.0,13.0,13.0,13.0,10263500,2250,2,13.0,13.0
2003-05-20,13.0,13.0,13.0,13.0,7872900,1725,2,13.0,13.0
2003-05-21,13.0,13.0,13.0,13.0,6846000,1500,1,13.0,13.0
2003-05-24,13.0,13.0,13.0,13.0,8101100,1775,1,13.0,13.0
2003-05-25,13.0,14.0,13.0,14.0,14907025,3225,3,13.0,14.0
2003-05-26,14.0,14.0,14.0,14.0,4649710,1000,2,14.0,14.0
2003-05-27,14.0,14.0,14.0,14.0,4650000,1000,1,14.0,14.0
2003-05-28,14.0,14.0,14.0,14.0,4650000,1000,1,14.0,14.0
2003-05-31,14.0,14.0,14.0,14.0,4644000,1000,1,14.0,14.0
2003-06-01,14.0,14.0,14.0,14.0,4640000,1000,1,14.0,14.0
2003-06-02,14.0,14.0,14.0,14.0,4640000,1000,1,14.0,14.0
2003-06-03,14.0,14.0,14.0,14.0,4640000,1000,1,14.0,14.0
2003-06-07,14.0,14.0,14.0,14.0,4640000,1000,1,14.0,14.0
2003-06-08,14.0,14.0,14.0,14.0,4642850,1000,2,14.0,14.0
2003-06-09,14.0,14.0,14.0,14.0,7145600,1540,8,14.0,14.0
2003-06-10,14.0,14.0,14.0,14.0,24690225,5317,7,14.0,14.0
2003-06-25,12.0,12.0,12.0,12.0,4150000,1000,1,14.0,12.0
2003-06-30,12.0,12.0,12.0,12.0,402550,97,1,12.0,12.0
2003-07-01,12.0,12.0,12.0,12.0,4150000,1000,1,12.0,12.0
2003-07-02,12.0,12.0,12.0,12.0,4150000,1000,1,12.0,12.0
2003-07-05,12.0,12.0,12.0,12.0,2077500,500,1,12.0,12.0
2003-07-06,12.0,12.0,12.0,12.0,2080000,500,1,12.0,12.0
2003-07-15,12.0,12.0,12.0,12.0,4168000,1000,1,12.0,12.0
2003-07-16,12.0,12.0,12.0,12.0,4200000,1000,1,12.0,12.0
2003-07-19,12.0,12.0,12.0,12.0,4158867,990,4,12.0,12.0
2003-07-20,12.0,12.0,12.0,12.0,471184,112,1,12.0,12.0
2003-07-21,12.0,12.0,12.0,12.0,5859696,1392,4,12.0,12.0
2003-07-22,12.0,13.0,12.0,13.0,5998530,1416,4,12.0,13.0
2003-07-23,13.0,13.0,13.0,13.0,5124600,1200,4,13.0,13.0
2003-07-26,13.0,13.0,13.0,13.0,2002572,468,4,13.0,13.0
2003-07-27,13.0,13.0,13.0,13.0,4310000,1000,1,13.0,13.0
2003-07-28,13.0,13.0,13.0,13.0,1854794,429,2,13.0,13.0
2003-07-29,13.0,13.0,13.0,13.0,2189462,506,4,13.0,13.0
2003-07-30,13.0,13.0,13.0,13.0,4490210,1037,1,13.0,13.0
2003-08-03,13.0,13.0,13.0,13.0,5413750,1250,1,13.0,13.0
2003-08-04,13.0,13.0,13.0,13.0,879599,203,2,13.0,13.0
2003-08-06,13.0,13.0,13.0,13.0,4779299,1103,4,13.0,13.0
2003-08-09,13.0,13.0,13.0,13.0,11590775,2675,4,13.0,13.0
2003-08-10,13.0,13.0,13.0,13.0,12323052,2844,20,13.0,13.0
2003-08-11,13.0,13.0,13.0,13.0,1863190,430,2,13.0,13.0
2003-08-12,13.0,13.0,13.0,13.0,3930031,907,5,13.0,13.0
2003-08-13,13.0,13.0,13.0,13.0,17869292,4124,5,13.0,13.0
2003-08-17,13.0,13.0,13.0,13.0,866600,200,2,13.0,13.0
2003-08-18,13.0,13.0,13.0,13.0,2937774,678,4,13.0,13.0
2003-08-24,13.0,13.0,13.0,13.0,23720636,5459,5,13.0,13.0
2003-08-25,13.0,13.0,13.0,13.0,12577008,2878,7,13.0,13.0
2003-08-26,13.0,13.0,13.0,13.0,573499,125,2,13.0,13.0
2003-08-30,14.0,14.0,13.0,13.0,2682283,557,4,13.0,13.0
