date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-06-18,349.0,349.0,349.0,349.0,338750000,250000,13,257.0,349.0
2018-06-23,798.0,798.0,798.0,798.0,669600000,216000,39,349.0,798.0
2018-06-25,1153.0,1153.0,1153.0,1153.0,1475747840,329408,61,798.0,1153.0
2018-06-27,1153.0,1153.0,1153.0,1153.0,104115200,23240,17,1153.0,1153.0
2018-06-30,1153.0,1153.0,1153.0,1153.0,5967360,1332,2,1153.0,1153.0
2018-07-02,1145.0,1145.0,1145.0,1145.0,24581800,5524,5,1153.0,1145.0
2018-07-04,443.0,443.0,443.0,443.0,3228440,1877,2,1145.0,443.0
2018-07-21,443.0,443.0,443.0,443.0,1907587,1111,4,443.0,443.0
2018-07-25,762.0,762.0,762.0,762.0,2009400,680,1,443.0,762.0
2018-07-28,762.0,762.0,762.0,762.0,16403205,5551,4,762.0,762.0
2018-07-30,480.0,480.0,480.0,480.0,12500730,6710,9,762.0,480.0
2018-08-06,480.0,480.0,480.0,480.0,31443714,16878,6,480.0,480.0
2018-08-08,541.0,541.0,541.0,541.0,18295200,8712,7,480.0,541.0
2018-08-11,541.0,541.0,541.0,541.0,42000000,20000,2,541.0,541.0
2018-08-13,541.0,541.0,541.0,541.0,61950000,29500,3,541.0,541.0
2018-08-15,541.0,541.0,541.0,541.0,32006100,15241,9,541.0,541.0
2018-08-18,541.0,541.0,541.0,541.0,24990000,11900,8,541.0,541.0
2018-08-25,541.0,541.0,541.0,541.0,123679500,58895,3,541.0,541.0
2018-08-27,567.0,567.0,567.0,567.0,65304800,29684,12,541.0,567.0
2018-08-29,593.0,593.0,593.0,593.0,99691200,43344,13,567.0,593.0
2018-09-01,593.0,593.0,593.0,593.0,13694200,5954,3,593.0,593.0
2018-09-03,593.0,593.0,593.0,593.0,20870200,9074,6,593.0,593.0
2018-09-05,593.0,593.0,593.0,593.0,11267700,4899,3,593.0,593.0
2018-09-08,645.0,645.0,645.0,645.0,31780000,12712,5,593.0,645.0
2018-09-10,645.0,645.0,645.0,645.0,8547500,3419,6,645.0,645.0
2018-09-12,645.0,645.0,645.0,645.0,33750000,13500,5,645.0,645.0
2018-09-15,722.0,728.0,722.0,722.0,115385000,41200,9,645.0,728.0
