date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-06-11,3.0,3.0,3.0,3.0,1224000,300,1,3.0,3.0
2001-06-12,3.0,3.0,3.0,3.0,204000,50,1,3.0,3.0
2001-07-31,3.0,3.0,3.0,3.0,12110640,2983,3,3.0,3.0
2001-08-06,3.0,3.0,3.0,3.0,4100000,1000,1,3.0,3.0
2001-08-18,3.0,3.0,3.0,3.0,1230000,300,1,3.0,3.0
2001-09-08,3.0,3.0,3.0,3.0,123300000,30000,3,3.0,3.0
2001-09-09,3.0,3.0,3.0,3.0,2150000,500,1,3.0,3.0
2001-09-11,3.0,3.0,3.0,3.0,88000000,20000,2,3.0,3.0
2001-09-19,3.0,3.0,3.0,3.0,90000000,20000,2,3.0,3.0
2001-09-25,3.0,3.0,3.0,3.0,2310000,500,1,3.0,3.0
2001-09-30,3.0,3.0,3.0,3.0,47000000,10000,1,3.0,3.0
2001-10-02,4.0,4.0,4.0,4.0,105526000,22216,4,3.0,4.0
2001-10-07,4.0,4.0,4.0,4.0,96000000,20000,2,4.0,4.0
2001-10-08,4.0,4.0,4.0,4.0,25358400,5283,1,4.0,4.0
2001-10-20,4.0,4.0,4.0,4.0,97000000,20000,2,4.0,4.0
2001-10-23,4.0,4.0,4.0,4.0,1940000,400,2,4.0,4.0
2001-10-24,4.0,4.0,4.0,4.0,98000000,20000,2,4.0,4.0
2001-10-27,4.0,4.0,4.0,4.0,98400000,20000,2,4.0,4.0
2001-11-03,4.0,4.0,4.0,4.0,99000000,20000,2,4.0,4.0
2001-11-06,4.0,4.0,4.0,4.0,99400000,20000,2,4.0,4.0
2001-11-11,4.0,4.0,4.0,4.0,8500000,1700,1,4.0,4.0
2001-11-14,4.0,4.0,4.0,4.0,107500000,21500,4,4.0,4.0
2001-12-01,4.0,4.0,4.0,4.0,100200000,20000,2,4.0,4.0
2001-12-12,4.0,4.0,4.0,4.0,100600000,20000,2,4.0,4.0
2002-01-06,4.0,4.0,4.0,4.0,15843000,3000,1,4.0,4.0
2002-01-08,4.0,4.0,4.0,4.0,120491296,22816,3,4.0,4.0
2002-01-28,4.0,4.0,4.0,4.0,2640500,500,1,4.0,4.0
2002-02-27,4.0,4.0,4.0,4.0,9465300,1800,2,4.0,4.0
2002-06-16,4.0,4.0,4.0,4.0,53128595,9815,2,4.0,4.0
2002-06-29,4.0,4.0,4.0,4.0,10826000,2000,1,4.0,4.0
2002-07-06,4.0,4.0,4.0,4.0,21648000,4000,7,4.0,4.0
2002-07-07,4.0,4.0,4.0,4.0,2706500,500,1,4.0,4.0
2002-07-14,4.0,4.0,4.0,4.0,5412000,1000,2,4.0,4.0
2002-07-31,4.0,4.0,4.0,4.0,5500000,1000,1,4.0,4.0
2002-08-21,4.0,4.0,4.0,4.0,33000000,6000,1,4.0,4.0
2002-10-06,4.0,4.0,4.0,4.0,110000000,20000,3,4.0,4.0
2002-10-08,4.0,4.0,4.0,4.0,110600000,20000,2,4.0,4.0
2002-10-12,4.0,4.0,4.0,4.0,278500000,50000,5,4.0,4.0
2002-10-15,4.0,4.0,4.0,4.0,280000000,50000,5,4.0,4.0
2002-10-19,4.0,4.0,4.0,4.0,281500000,50000,5,4.0,4.0
2002-10-21,4.0,4.0,4.0,4.0,283000000,50000,5,4.0,4.0
2002-10-27,4.0,4.0,4.0,4.0,284000000,50000,5,4.0,4.0
2002-11-02,4.0,4.0,4.0,4.0,285000000,50000,5,4.0,4.0
2002-11-06,4.0,4.0,4.0,4.0,286000000,50000,5,4.0,4.0
2002-11-11,4.0,4.0,4.0,4.0,572000000,100000,10,4.0,4.0
