date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-11-17,400.0,400.0,400.0,400.0,4182000000000,615000000,308461,59.0,400.0
2018-11-18,420.0,420.0,420.0,420.0,5855428320,820088,698,400.0,420.0
2018-11-19,441.0,441.0,441.0,441.0,9366594363,1249379,1105,420.0,441.0
2018-11-20,463.0,463.0,463.0,463.0,12654230313,1607703,1349,441.0,463.0
2018-11-21,486.0,486.0,486.0,486.0,36011685712,4357658,3220,463.0,486.0
2018-11-24,510.0,510.0,500.0,510.0,1672166803974,192779906,121523,486.0,510.0
2018-11-26,514.0,516.0,485.0,499.0,1778403591495,209746265,139718,510.0,493.0
2018-11-27,490.0,515.0,485.0,501.0,729869663519,85714127,54210,499.0,512.0
2018-11-28,512.0,513.0,495.0,501.0,275944210546,32423977,19877,501.0,499.0
2018-12-01,491.0,492.0,476.0,478.0,382287080918,47065032,18373,501.0,476.0
2018-12-02,482.0,494.0,478.0,485.0,175930357728,21327568,9985,478.0,485.0
2018-12-03,491.0,494.0,484.0,488.0,141462860042,17050255,7715,485.0,490.0
2018-12-04,486.0,488.0,477.0,481.0,134324090270,16413905,6415,488.0,488.0
2018-12-05,480.0,484.0,479.0,481.0,108476936267,13266319,5979,481.0,480.0
2018-12-08,477.0,482.0,468.0,474.0,160695751071,19929309,8274,481.0,472.0
2018-12-09,471.0,471.0,462.0,466.0,128973489157,16274655,7370,474.0,465.0
2018-12-10,462.0,484.0,456.0,472.0,111376177649,13875357,6562,466.0,477.0
2018-12-12,471.0,474.0,465.0,469.0,68111894316,8535096,5727,472.0,468.0
2018-12-15,465.0,468.0,459.0,465.0,75484084623,9560272,3925,469.0,462.0
2018-12-16,464.0,464.0,447.0,453.0,87343696985,11344115,4179,465.0,449.0
2018-12-17,444.0,449.0,438.0,443.0,59246020687,7864344,4262,453.0,440.0
2018-12-18,435.0,458.0,427.0,442.0,56775671000,7564321,3395,443.0,444.0
2018-12-19,439.0,444.0,433.0,435.0,72557410666,9803553,2514,442.0,435.0
2018-12-22,430.0,435.0,424.0,429.0,34426442525,4725223,2593,435.0,429.0
2018-12-23,433.0,455.0,433.0,447.0,57468126357,7560869,3388,429.0,449.0
2018-12-24,449.0,454.0,439.0,447.0,56239951622,7399009,3091,447.0,450.0
2018-12-29,453.0,453.0,453.0,453.0,3379583900,438907,141,447.0,453.0
2018-12-30,453.0,454.0,431.0,449.0,60472562602,7919362,2878,453.0,452.0
2018-12-31,450.0,462.0,447.0,455.0,41436768620,5360945,2592,449.0,461.0
2019-01-01,456.0,481.0,456.0,473.0,86117134410,10722295,3846,455.0,477.0
2019-01-02,477.0,481.0,471.0,473.0,66907762851,8314661,2617,473.0,475.0
2019-01-05,471.0,471.0,462.0,467.0,41757272043,5260710,1799,473.0,465.0
2019-01-06,459.0,471.0,458.0,462.0,50214214303,6389119,1915,467.0,471.0
2019-01-07,462.0,471.0,462.0,468.0,27686030147,3480739,1544,462.0,466.0
