date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-08,2748.0,2748.0,2748.0,2748.0,4277857584000,185993808,2607451,119.0,2748.0
2021-09-11,2886.0,2886.0,2886.0,2886.0,28537016550,1181657,2716,2748.0,2886.0
2021-09-12,3029.0,3029.0,3029.0,3029.0,34013159700,1341742,4975,2886.0,3029.0
2021-09-13,3180.0,3180.0,3180.0,3180.0,36626935350,1376435,5679,3029.0,3180.0
2021-09-14,3339.0,3339.0,3339.0,3339.0,64938958260,2324229,6617,3180.0,3339.0
2021-09-15,3505.0,3505.0,3505.0,3505.0,79536830030,2711791,26803,3339.0,3505.0
2021-09-18,3679.0,3679.0,3679.0,3679.0,59059499810,1918139,13347,3505.0,3679.0
2021-09-19,3862.0,3862.0,3862.0,3862.0,83151344640,2572752,22726,3679.0,3862.0
2021-09-20,4054.0,4054.0,4054.0,4054.0,486538793910,14339487,59279,3862.0,4054.0
2021-09-21,4256.0,4256.0,4256.0,4256.0,253206978440,7108562,23073,4054.0,4256.0
2021-09-26,4044.0,4182.0,4044.0,4047.0,1199133487370,35405164,240887,4256.0,4044.0
2021-09-28,3845.0,4112.0,3845.0,3858.0,2619239537580,81122646,652849,4047.0,3847.0
2021-09-29,3847.0,4051.0,3728.0,3933.0,1197613989530,36393189,218625,3858.0,4051.0
2021-10-02,4126.0,4129.0,3970.0,4115.0,902110142540,26192831,90405,3933.0,4129.0
2021-10-03,4123.0,4123.0,3910.0,3949.0,764152281810,23120000,73784,4115.0,3910.0
2021-10-04,3910.0,3943.0,3806.0,3860.0,338442393420,10478323,56345,3949.0,3884.0
2021-10-06,3849.0,3943.0,3766.0,3849.0,201242688100,6248222,39398,3860.0,3794.0
2021-10-09,3753.0,3790.0,3657.0,3666.0,404740412230,13192061,40619,3849.0,3658.0
2021-10-10,3585.0,3704.0,3508.0,3588.0,208225875870,6934554,49808,3666.0,3692.0
2021-10-11,3694.0,3768.0,3634.0,3725.0,192008049340,6159163,24526,3588.0,3684.0
2021-10-12,3645.0,3725.0,3539.0,3548.0,287875454810,9695547,18611,3725.0,3541.0
2021-10-13,3441.0,3640.0,3371.0,3439.0,118135412690,4105274,15463,3548.0,3447.0
2021-10-16,3597.0,3610.0,3465.0,3562.0,92839894610,3114301,14117,3439.0,3519.0
2021-10-17,3579.0,3579.0,3384.0,3459.0,119831694300,4139758,18949,3562.0,3418.0
2021-10-18,3465.0,3561.0,3406.0,3486.0,118954335150,4078519,15253,3459.0,3495.0
2021-10-19,3465.0,3569.0,3453.0,3482.0,90875235430,3118839,13600,3486.0,3464.0
2021-10-20,3465.0,3477.0,3309.0,3359.0,69573636150,2474741,10860,3482.0,3332.0
2021-10-23,3334.0,3359.0,3192.0,3212.0,135443054900,5039635,11073,3359.0,3195.0
2021-10-25,3104.0,3210.0,3078.0,3124.0,67473752630,2581584,12374,3212.0,3084.0
2021-10-26,3107.0,3237.0,3107.0,3153.0,59426212180,2251839,9670,3124.0,3136.0
2021-10-27,3130.0,3214.0,3119.0,3145.0,55451910280,2106600,9559,3153.0,3131.0
2021-10-30,3107.0,3131.0,3017.0,3064.0,73489037500,2865996,17628,3145.0,3047.0
2021-10-31,3107.0,3116.0,2935.0,3012.0,131708847530,5224234,11413,3064.0,2992.0
2021-11-01,2993.0,3163.0,2993.0,3130.0,58375838540,2228985,9265,3012.0,3163.0
2021-11-02,3163.0,3214.0,3096.0,3127.0,49198787560,1879654,7116,3130.0,3128.0
2021-11-03,3128.0,3278.0,3055.0,3200.0,61215236630,2286103,7441,3127.0,3257.0
2021-11-06,3274.0,3359.0,3226.0,3346.0,123269438910,4403055,9088,3200.0,3320.0
2021-11-07,3346.0,3346.0,3179.0,3214.0,84504580800,3141883,6355,3346.0,3179.0
2021-11-08,3077.0,3212.0,3077.0,3130.0,54282959820,2072515,7342,3214.0,3122.0
2021-11-09,3107.0,3216.0,3054.0,3122.0,68286762670,2613492,7444,3130.0,3083.0
2021-11-10,3072.0,3207.0,3072.0,3142.0,63240082220,2405460,7763,3122.0,3167.0
2021-11-13,3077.0,3142.0,2989.0,3084.0,64527337950,2499825,6191,3142.0,3050.0
2021-11-14,3046.0,3140.0,2993.0,3093.0,79626308090,3076379,7442,3084.0,3137.0
2021-11-15,3108.0,3186.0,3097.0,3124.0,72367939230,2768819,6079,3093.0,3112.0
2021-11-16,3116.0,3195.0,3061.0,3125.0,52544908440,2009251,5215,3124.0,3136.0
2021-11-17,3149.0,3280.0,3119.0,3225.0,96248592720,3566073,8464,3125.0,3196.0
2021-11-20,3149.0,3235.0,3143.0,3168.0,58381614030,2202161,6177,3225.0,3174.0
2021-11-21,3143.0,3298.0,3142.0,3232.0,67802848460,2506262,6338,3168.0,3239.0
2021-11-22,3167.0,3298.0,3167.0,3242.0,45464943330,1675693,6451,3232.0,3228.0
2021-11-23,3216.0,3249.0,3133.0,3176.0,35823193110,1348002,8827,3242.0,3144.0
2021-11-24,3107.0,3142.0,3058.0,3096.0,65035232520,2510421,5341,3176.0,3093.0
2021-11-27,3045.0,3158.0,2942.0,2999.0,42205850110,1681468,4913,3096.0,2949.0
2021-11-28,2987.0,3050.0,2889.0,2965.0,46343513200,1867963,5189,2999.0,2987.0
2021-11-29,2929.0,3005.0,2892.0,2978.0,41405155800,1661752,5351,2965.0,2981.0
2021-11-30,2987.0,2999.0,2978.0,2989.0,25963858600,1038102,4033,2978.0,2978.0
2021-12-01,2930.0,3004.0,2910.0,2965.0,35246439940,1420594,3960,2989.0,2934.0
2021-12-04,2892.0,3004.0,2892.0,2973.0,114490692390,4602355,5932,2965.0,2987.0
2021-12-05,3011.0,3011.0,2926.0,2959.0,29365342710,1186115,4060,2973.0,2955.0
2021-12-06,2931.0,2963.0,2930.0,2942.0,20389671330,828328,3737,2959.0,2934.0
2021-12-07,2928.0,2981.0,2906.0,2930.0,12697807350,518240,3386,2942.0,2926.0
2021-12-08,2931.0,2962.0,2918.0,2935.0,26152195470,1064677,4116,2930.0,2940.0
2021-12-11,2943.0,2984.0,2905.0,2928.0,58116278590,2371656,3392,2935.0,2935.0
2021-12-12,2928.0,2931.0,2880.0,2925.0,47366001290,1934779,2883,2928.0,2916.0
2021-12-13,2875.0,2940.0,2821.0,2919.0,78243901190,3202256,3989,2925.0,2880.0
2021-12-14,2928.0,2932.0,2870.0,2928.0,39672122100,1619444,3130,2919.0,2891.0
2021-12-15,2928.0,2938.0,2904.0,2925.0,18028310050,736319,2640,2928.0,2916.0
2021-12-18,2928.0,2938.0,2871.0,2919.0,26377651090,1079661,3332,2925.0,2905.0
2021-12-19,2928.0,2930.0,2857.0,2905.0,19727304160,811324,3253,2919.0,2857.0
2021-12-20,2811.0,2892.0,2760.0,2815.0,62078092260,2634863,3177,2905.0,2815.0
2021-12-21,2795.0,2891.0,2773.0,2861.0,21001094590,877293,2501,2815.0,2873.0
2021-12-22,2826.0,2962.0,2826.0,2931.0,24901498690,1015250,2543,2861.0,2941.0
2021-12-25,2928.0,3005.0,2897.0,2962.0,24404126780,984574,3442,2931.0,2916.0
2021-12-26,2880.0,2912.0,2856.0,2875.0,14266461500,593495,2609,2962.0,2885.0
2021-12-27,2833.0,2987.0,2833.0,2923.0,21267882000,869640,3486,2875.0,2916.0
2021-12-28,2916.0,2985.0,2916.0,2935.0,17949282160,730980,2834,2923.0,2946.0
2021-12-29,2935.0,2986.0,2870.0,2897.0,15219013070,627768,2964,2935.0,2894.0
2022-01-01,2834.0,2925.0,2834.0,2854.0,24463072650,1024297,2351,2897.0,2855.0
2022-01-02,2857.0,2900.0,2832.0,2861.0,14378228350,600463,2446,2854.0,2832.0
2022-01-03,2826.0,2880.0,2820.0,2850.0,11769729000,493978,2287,2861.0,2836.0
2022-01-04,2868.0,2880.0,2815.0,2846.0,12464902750,523376,2117,2850.0,2856.0
2022-01-05,2868.0,2928.0,2819.0,2861.0,15316402030,639672,2182,2846.0,2856.0
2022-01-08,2868.0,2892.0,2856.0,2862.0,16691860580,697064,2557,2861.0,2857.0
2022-01-09,2868.0,2882.0,2772.0,2824.0,58610287510,2480150,2350,2862.0,2807.0
2022-01-10,2868.0,2928.0,2868.0,2871.0,22314794010,928499,2533,2824.0,2871.0
2022-01-11,2868.0,2928.0,2832.0,2876.0,10856275110,450708,2021,2871.0,2868.0
2022-01-12,2846.0,2952.0,2846.0,2899.0,22214962340,915689,2361,2876.0,2883.0
2022-01-15,2858.0,2965.0,2850.0,2873.0,44968016360,1870759,2528,2899.0,2900.0
2022-01-16,2919.0,3016.0,2868.0,3008.0,165284503450,6567194,4596,2873.0,3016.0
2022-01-17,3038.0,3106.0,2962.0,3032.0,70294890780,2770791,3132,3008.0,2996.0
2022-01-18,2931.0,2936.0,2881.0,2883.0,85321180100,3535425,2117,3032.0,2882.0
2022-01-19,2861.0,2928.0,2856.0,2869.0,27505496090,1145564,1952,2883.0,2883.0
2022-01-22,2861.0,2928.0,2788.0,2849.0,92010072280,3859886,2280,2869.0,2826.0
2022-01-23,2785.0,2846.0,2748.0,2805.0,72882203050,3104688,1890,2849.0,2763.0
2022-01-24,2808.0,2811.0,2777.0,2805.0,18066988280,769782,1966,2805.0,2787.0
2022-01-25,2808.0,2814.0,2665.0,2745.0,151913603960,6614620,1226,2805.0,2665.0
2022-01-26,2760.0,2869.0,2691.0,2760.0,39303858030,1701504,1606,2745.0,2756.0
2022-01-29,2709.0,2898.0,2709.0,2871.0,81067149210,3373597,2680,2760.0,2898.0
2022-01-30,2940.0,2940.0,2779.0,2844.0,29161603050,1225451,2229,2871.0,2844.0
2022-01-31,2811.0,2865.0,2785.0,2824.0,12906112150,547034,2239,2844.0,2832.0
2022-02-01,2832.0,2832.0,2763.0,2793.0,25035675960,1071334,3739,2824.0,2776.0
2022-02-02,2796.0,2828.0,2762.0,2787.0,13719329340,588318,3110,2793.0,2769.0
2022-02-05,2822.0,2822.0,2734.0,2772.0,17305270510,745860,2647,2787.0,2734.0
2022-02-06,2773.0,2778.0,2713.0,2752.0,42613858310,1850332,2689,2772.0,2738.0
2022-02-07,2793.0,2796.0,2715.0,2752.0,64747362680,2811572,2703,2752.0,2721.0
2022-02-08,2759.0,2788.0,2701.0,2741.0,59287461070,2584839,5116,2752.0,2714.0
2022-02-09,2748.0,2771.0,2672.0,2739.0,88210689650,3848358,16215,2741.0,2710.0
2022-02-12,2760.0,2813.0,2690.0,2766.0,22464080910,970339,2327,2739.0,2748.0
2022-02-13,2767.0,2783.0,2702.0,2759.0,55674518040,2411170,2030,2766.0,2733.0
2022-02-14,2759.0,2796.0,2728.0,2772.0,23714360430,1022164,1942,2759.0,2744.0
2022-02-16,2794.0,2838.0,2729.0,2791.0,26866814530,1150202,3245,2772.0,2730.0
2022-02-19,2784.0,2784.0,2727.0,2760.0,36534416200,1581625,1983,2791.0,2733.0
2022-02-20,2760.0,2788.0,2623.0,2756.0,42606821520,1847918,2698,2760.0,2748.0
2022-02-21,2753.0,2771.0,2704.0,2742.0,12701783380,553879,1915,2756.0,2707.0
2022-02-22,2748.0,2750.0,2701.0,2742.0,22023498540,959583,1935,2742.0,2741.0
