date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-05-09,47403.0,47403.0,47403.0,47403.0,115273480000,823382,237,47403.0,47403.0
2020-05-10,48351.0,48351.0,48351.0,48351.0,144487467600,1011817,404,47403.0,48351.0
2020-05-11,49318.0,49318.0,49318.0,49318.0,70850574144,486424,206,48351.0,49318.0
2020-05-12,50304.0,50304.0,50304.0,50304.0,908981987112,6118248,552,49318.0,50304.0
2020-05-13,52316.0,52316.0,52316.0,52316.0,195333424244,1264204,1312,50304.0,52316.0
2020-05-16,53362.0,53362.0,53362.0,53362.0,74710123646,474046,285,52316.0,53362.0
2020-05-17,54430.0,54430.0,54430.0,54430.0,42048965975,261575,265,53362.0,54430.0
2020-05-18,55518.0,55518.0,55518.0,55518.0,93351081600,569325,246,54430.0,55518.0
2020-05-19,57739.0,57739.0,57739.0,57739.0,56017791000,328500,249,55518.0,57739.0
2020-05-20,58893.0,58893.0,58893.0,58893.0,81659299344,469479,283,57739.0,58893.0
2020-05-23,60071.0,60071.0,59979.0,60070.0,2420624692546,13644021,6325,58893.0,60071.0
2020-05-26,58869.0,58869.0,58869.0,58869.0,245517896070,1412118,3163,60070.0,58869.0
2020-05-27,57692.0,57692.0,57692.0,57692.0,117859935420,691715,1867,58869.0,57692.0
2020-05-30,56538.0,56538.0,56538.0,56538.0,152488051086,913206,1946,57692.0,56538.0
2020-05-31,54277.0,54277.0,54277.0,54277.0,79280880744,494572,1344,56538.0,54277.0
2020-06-01,53191.0,53191.0,53191.0,53191.0,38400389144,244439,711,54277.0,53191.0
2020-06-02,52128.0,52128.0,52128.0,52128.0,89877389450,583790,1642,53191.0,52128.0
2020-06-06,53170.0,53170.0,53170.0,53170.0,456504119360,2907040,1772,52128.0,53170.0
2020-06-07,54234.0,54234.0,54234.0,54234.0,230339181744,1438056,849,53170.0,54234.0
2020-06-08,53149.0,55318.0,53149.0,54352.0,1264844100384,7879494,11912,54234.0,53497.0
2020-06-09,53271.0,55190.0,53265.0,53850.0,416158606376,2616660,6237,54352.0,53464.0
2020-06-10,53853.0,54175.0,52773.0,53045.0,283929998449,1812351,5541,53850.0,52773.0
2020-06-13,51984.0,51984.0,51984.0,51984.0,183665604087,1196277,2889,53045.0,51984.0
2020-06-14,50945.0,50945.0,50945.0,50945.0,70795511564,470524,1417,51984.0,50945.0
2020-06-15,48907.0,52982.0,48907.0,51414.0,1498980043715,9871551,8809,50945.0,52982.0
2020-06-16,52442.0,52442.0,52442.0,52442.0,172365911964,1112871,729,51414.0,52442.0
2020-06-20,53491.0,53491.0,53491.0,53491.0,192786899977,1220317,1139,52442.0,53491.0
2020-06-21,54561.0,54561.0,53491.0,54518.0,655122386563,4068697,5835,53491.0,54561.0
2020-06-22,55854.0,56699.0,53836.0,56200.0,750741055593,4523049,6455,54518.0,56699.0
2020-06-23,57323.0,57323.0,55698.0,57252.0,353555158641,2090946,3956,56200.0,57188.0
2020-06-24,56107.0,58390.0,56107.0,56874.0,564201812324,3358885,5972,57252.0,56545.0
2020-06-27,56172.0,56375.0,55737.0,55856.0,409831361797,2484333,4338,56874.0,55737.0
2020-06-28,54739.0,54739.0,54739.0,54739.0,78158396151,483453,1074,55856.0,54739.0
2020-06-29,53644.0,53644.0,53644.0,53644.0,84838555188,535482,1121,54739.0,53644.0
2020-06-30,51804.0,55529.0,51804.0,53488.0,1206947869256,7640242,12915,53644.0,54175.0
2020-07-01,54558.0,54558.0,54005.0,54528.0,512794136365,3184177,4165,53488.0,54558.0
2020-07-04,55618.0,55618.0,54852.0,55606.0,1052896819488,6411191,5664,54528.0,55618.0
2020-07-05,56718.0,56718.0,56718.0,56718.0,200874192456,1199163,1742,55606.0,56718.0
2020-07-06,58987.0,58987.0,58987.0,58987.0,229450792536,1317078,1561,56718.0,58987.0
2020-07-07,60166.0,60166.0,60166.0,60166.0,183967602624,1035294,1149,58987.0,60166.0
2020-07-08,61369.0,61369.0,60608.0,61353.0,1634742827436,9021704,11038,60166.0,61369.0
2020-07-11,62580.0,62580.0,62580.0,62580.0,530004354825,2867601,3989,61353.0,62580.0
2020-07-12,65083.0,65083.0,65083.0,65083.0,233312286220,1213790,758,62580.0,65083.0
2020-07-13,65874.0,65874.0,65874.0,65874.0,320299627230,1633665,1160,65083.0,65874.0
2020-07-14,67191.0,67191.0,67191.0,67191.0,113011993164,565108,795,65874.0,67191.0
2020-07-15,68535.0,68535.0,68535.0,68535.0,95317320906,467283,729,67191.0,68535.0
2020-07-18,71276.0,71276.0,71276.0,71276.0,353667686035,1667135,1727,68535.0,71276.0
2020-07-19,72701.0,72701.0,72701.0,72701.0,216881113666,1002302,707,71276.0,72701.0
2020-07-20,74155.0,74155.0,74155.0,74155.0,101026471140,457734,527,72701.0,74155.0
2020-07-21,75638.0,75638.0,75638.0,75638.0,127980967884,568491,725,74155.0,75638.0
2020-07-22,78663.0,78663.0,78663.0,78663.0,143333863984,612203,764,75638.0,78663.0
2020-07-25,80236.0,80236.0,80236.0,80236.0,88564121360,370856,502,78663.0,80236.0
2020-07-26,81841.0,81841.0,81841.0,81841.0,72974955396,299586,448,80236.0,81841.0
2020-07-27,83477.0,83477.0,83477.0,83477.0,86143271841,346713,540,81841.0,83477.0
2020-07-28,86816.0,86816.0,86816.0,86816.0,117384197390,454282,566,83477.0,86816.0
2020-07-29,88552.0,88552.0,88552.0,88552.0,132272016006,501863,737,86816.0,88552.0
2020-08-01,90323.0,90323.0,90323.0,90323.0,125098479387,465339,504,88552.0,90323.0
2020-08-02,92130.0,92130.0,92130.0,92130.0,105334096842,384138,477,90323.0,92130.0
2020-08-04,95815.0,95815.0,95815.0,95815.0,217442614491,762483,893,92130.0,95815.0
2020-08-05,97731.0,97731.0,93899.0,96883.0,4805127000900,16663759,21128,95815.0,97731.0
2020-08-09,98821.0,98821.0,96615.0,98639.0,2774644024809,9451007,27130,96883.0,96662.0
2020-08-10,96666.0,96666.0,96666.0,96666.0,299974681375,1042625,5449,98639.0,96666.0
2020-08-11,94733.0,94733.0,94733.0,94733.0,112070012704,397472,2263,96666.0,94733.0
