date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-09-05,8500.0,8500.0,5300.0,6436.0,1467320734310,228000000,169,1000.0,5300.0
2023-03-14,4300.0,4515.0,4300.0,4384.0,437909155301,99886338,1570,3470.0,4515.0
2023-03-15,4603.0,4603.0,4603.0,4603.0,21738095579,4722593,121,4384.0,4603.0
2023-03-18,4833.0,4833.0,4833.0,4833.0,17984143962,3721114,84,4603.0,4833.0
2023-03-19,5074.0,5074.0,5074.0,5074.0,16977604000,3346000,71,4833.0,5074.0
2023-03-25,5320.0,5320.0,5170.0,5320.0,308887481590,58075812,1653,5074.0,5320.0
2023-03-26,5410.0,5580.0,5200.0,5530.0,167988864620,30375054,1775,5320.0,5580.0
2023-03-27,5570.0,5800.0,5540.0,5740.0,70189095550,12238401,839,5530.0,5800.0
2023-03-28,6020.0,6020.0,5900.0,6010.0,57259147700,9521073,580,5740.0,6020.0
2023-03-29,6310.0,6310.0,5850.0,6130.0,296140329360,48320821,3792,6010.0,5870.0
2023-04-03,5830.0,5940.0,5830.0,5830.0,146161814780,25063791,1722,6130.0,5830.0
2023-04-04,5800.0,5830.0,5540.0,5610.0,183851059290,32779989,2944,5830.0,5540.0
2023-04-05,5660.0,5860.0,5460.0,5660.0,88548533260,15641268,1600,5610.0,5560.0
2023-04-08,5630.0,5860.0,5550.0,5720.0,302000771190,52782007,3848,5660.0,5680.0
2023-04-09,5740.0,5740.0,5550.0,5650.0,88248872900,15612065,1798,5720.0,5550.0
2023-04-10,5610.0,5850.0,5480.0,5700.0,127439259000,22363029,2461,5650.0,5500.0
2023-04-11,5500.0,5760.0,5500.0,5670.0,53612423300,9457379,1190,5700.0,5710.0
2023-04-15,5780.0,5900.0,5740.0,5810.0,102737345360,17681095,1738,5670.0,5780.0
2023-04-16,5870.0,6100.0,5820.0,6070.0,182713740090,30106848,1316,5810.0,6100.0
2023-04-17,6370.0,6370.0,6370.0,6370.0,60721407110,9532403,362,6070.0,6370.0
2023-04-18,6680.0,6680.0,6470.0,6660.0,416723293240,62531589,2640,6370.0,6680.0
2023-04-19,6800.0,6800.0,6330.0,6420.0,247006788780,38493527,4255,6660.0,6350.0
2023-04-24,6300.0,6740.0,6300.0,6560.0,164320029510,25051331,2428,6420.0,6540.0
2023-04-25,6240.0,6880.0,6240.0,6510.0,3520605612230,541074128,26108,6560.0,6880.0
2023-05-01,7800.0,8190.0,7430.0,7800.0,3816629014120,489026956,26222,6410.0,8190.0
2023-05-02,8190.0,8190.0,8190.0,8190.0,115230654630,14069677,1065,7800.0,8190.0
2023-05-03,8590.0,8590.0,8590.0,8590.0,107092483490,12467111,1005,8190.0,8590.0
2023-05-06,9010.0,9010.0,8260.0,8790.0,3536747587210,402555150,26895,8590.0,8310.0
2023-05-07,8400.0,8500.0,8360.0,8380.0,168607479700,20108299,1539,8790.0,8360.0
