date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-06-19,38.0,38.0,38.0,38.0,108000000000,100000000,13228,36.0,38.0
2016-06-20,39.0,40.0,38.0,39.0,56780728807,51943896,19238,38.0,39.0
2016-06-21,39.0,40.0,38.0,39.0,23484839758,21395729,7810,39.0,39.0
2016-06-22,41.0,41.0,41.0,41.0,12023879005,10438763,2048,39.0,41.0
2016-06-25,43.0,43.0,41.0,43.0,33325306315,27750476,7216,41.0,42.0
2016-06-26,42.0,45.0,41.0,43.0,25958297295,21294622,7410,43.0,45.0
2016-06-28,45.0,45.0,42.0,44.0,18291556327,14779943,4291,43.0,42.0
2016-06-29,43.0,43.0,42.0,42.0,11926855869,10100373,2876,44.0,42.0
2016-07-02,42.0,43.0,42.0,43.0,7933113047,6602555,1871,42.0,43.0
2016-07-03,43.0,43.0,42.0,42.0,4885524295,4109388,1223,43.0,42.0
2016-07-04,42.0,42.0,41.0,41.0,4294770841,3728565,1061,42.0,41.0
2016-07-05,41.0,42.0,41.0,41.0,3942074418,3398103,893,41.0,42.0
2016-07-09,41.0,41.0,40.0,40.0,1965028075,1735711,549,41.0,40.0
2016-07-10,40.0,40.0,39.0,40.0,2737112893,2446822,727,40.0,39.0
2016-07-11,40.0,40.0,39.0,39.0,2359789110,2134525,678,40.0,39.0
2016-07-12,39.0,40.0,38.0,39.0,4092179854,3705376,981,39.0,39.0
2016-07-13,39.0,41.0,38.0,40.0,2373914900,2107729,612,39.0,40.0
2016-07-16,39.0,42.0,39.0,41.0,2504256214,2190317,622,40.0,40.0
2016-07-17,40.0,42.0,40.0,41.0,3493473839,3024419,860,41.0,40.0
2016-07-18,41.0,41.0,40.0,40.0,1043732699,922517,314,41.0,40.0
2016-07-19,40.0,41.0,40.0,40.0,1033732985,919442,315,40.0,40.0
2016-07-20,40.0,41.0,40.0,41.0,2029153886,1774997,508,40.0,41.0
2016-07-23,40.0,41.0,40.0,41.0,1493466427,1309630,433,41.0,40.0
2016-07-24,41.0,41.0,40.0,41.0,2488323574,2180123,567,41.0,40.0
2016-07-25,41.0,41.0,40.0,40.0,2274664010,2001041,532,41.0,40.0
2016-07-26,40.0,42.0,40.0,41.0,3209895122,2769167,931,40.0,41.0
2016-07-27,42.0,42.0,41.0,41.0,1045696892,899768,324,41.0,41.0
2016-07-31,41.0,41.0,40.0,41.0,1338766857,1170692,320,41.0,40.0
2016-08-01,40.0,41.0,40.0,40.0,1045210752,923504,310,41.0,40.0
2016-08-02,41.0,41.0,40.0,40.0,1451519206,1283242,491,40.0,40.0
2016-08-03,40.0,41.0,40.0,41.0,1287550661,1126023,312,40.0,41.0
2016-08-06,41.0,42.0,41.0,41.0,2445797733,2106464,596,41.0,41.0
2016-08-07,41.0,42.0,41.0,42.0,3978657890,3370918,965,41.0,41.0
2016-08-08,41.0,42.0,41.0,41.0,772006011,667458,197,42.0,41.0
2016-08-09,41.0,42.0,41.0,41.0,1244517605,1081714,232,41.0,41.0
2016-08-10,41.0,42.0,41.0,41.0,1797539626,1554947,480,41.0,41.0
2016-08-13,42.0,43.0,41.0,43.0,25816748998,21366651,4922,41.0,43.0
2016-08-14,43.0,43.0,41.0,42.0,4892032800,4191344,1179,43.0,42.0
2016-08-15,41.0,42.0,41.0,41.0,1773327849,1543102,527,42.0,41.0
2016-08-16,41.0,42.0,41.0,41.0,1040713883,898151,306,41.0,41.0
2016-08-17,41.0,42.0,41.0,41.0,779778938,678418,227,41.0,41.0
2016-08-20,41.0,41.0,41.0,41.0,881559303,766885,279,41.0,41.0
2016-08-21,41.0,41.0,40.0,41.0,1169138817,1023115,213,41.0,41.0
2016-08-22,41.0,41.0,40.0,40.0,2241642292,1973756,324,41.0,41.0
2016-08-23,41.0,41.0,40.0,40.0,3800196759,3370375,349,40.0,40.0
2016-08-24,40.0,40.0,40.0,40.0,2999218991,2670694,277,40.0,40.0
2016-08-27,40.0,40.0,40.0,40.0,1619516752,1444241,189,40.0,40.0
2016-08-28,40.0,41.0,39.0,40.0,1897652622,1703712,219,40.0,40.0
2016-08-29,40.0,40.0,39.0,39.0,882185024,796714,143,40.0,40.0
2016-08-30,39.0,40.0,39.0,39.0,539076198,486143,102,39.0,40.0
2016-08-31,39.0,40.0,39.0,39.0,333253032,300149,83,39.0,39.0
2016-09-03,39.0,40.0,39.0,39.0,1088755841,990528,148,39.0,39.0
2016-09-04,39.0,39.0,39.0,39.0,568852455,516741,107,39.0,39.0
2016-09-05,39.0,39.0,39.0,39.0,711096718,647993,113,39.0,39.0
2016-09-06,39.0,40.0,39.0,39.0,1083995442,984862,146,39.0,39.0
2016-09-07,39.0,40.0,39.0,39.0,1375210314,1239547,158,39.0,40.0
2016-09-10,40.0,40.0,39.0,39.0,2883403441,2625794,188,39.0,39.0
2016-09-11,40.0,40.0,39.0,39.0,1380861188,1250223,91,39.0,39.0
2016-09-13,39.0,40.0,39.0,39.0,1607160609,1465104,244,39.0,39.0
2016-09-14,39.0,39.0,39.0,39.0,1176313278,1072290,137,39.0,39.0
2016-09-17,39.0,40.0,39.0,39.0,6308791327,5687495,332,39.0,39.0
