date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-05-03,1148.0,1148.0,1148.0,1148.0,13200000,11000,2,956.0,1148.0
2016-05-15,1148.0,1148.0,1148.0,1148.0,1002000,835,1,1148.0,1148.0
2016-05-18,1148.0,1243.0,1148.0,1235.0,12913400,10000,3,1148.0,1243.0
2016-05-21,1243.0,1243.0,1243.0,1243.0,130000,100,1,1235.0,1243.0
2016-05-31,1148.0,1243.0,1148.0,1162.0,7166001,5897,3,1243.0,1243.0
2016-11-07,1172.0,1172.0,1172.0,1172.0,3570000,3000,1,1162.0,1172.0
2017-03-29,1181.0,1225.0,1181.0,1184.0,34151210,28404,9,1172.0,1181.0
2017-04-10,1199.0,1199.0,1199.0,1199.0,1327620,1090,2,1184.0,1199.0
2017-04-12,1211.0,1231.0,1211.0,1224.0,8867500,7134,3,1199.0,1231.0
2017-04-15,1236.0,1346.0,1236.0,1269.0,25499120,19784,7,1224.0,1346.0
2017-04-16,1280.0,1395.0,1270.0,1367.0,18326000,13200,4,1269.0,1395.0
2017-04-17,1379.0,1379.0,1379.0,1379.0,1400000,1000,1,1367.0,1379.0
2017-04-19,1517.0,1517.0,1517.0,1517.0,40811540,26501,8,1379.0,1517.0
2017-04-24,1668.0,1668.0,1640.0,1661.0,14302120,8480,24,1517.0,1640.0
2017-04-26,1661.0,1661.0,1661.0,1661.0,19169381,11363,4,1661.0,1661.0
2017-04-29,1496.0,1496.0,1496.0,1496.0,9474003,6237,2,1661.0,1496.0
2017-05-10,1347.0,1347.0,1347.0,1347.0,16793568,12276,6,1496.0,1347.0
2017-05-13,1347.0,1347.0,1347.0,1347.0,1368000,1000,1,1347.0,1347.0
2017-05-15,1329.0,1477.0,1329.0,1455.0,33116700,22406,9,1347.0,1477.0
2017-05-16,1477.0,1477.0,1477.0,1477.0,1500000,1000,1,1455.0,1477.0
2017-05-20,1477.0,1477.0,1477.0,1477.0,99000,66,1,1477.0,1477.0
2017-05-21,1359.0,1359.0,1329.0,1335.0,7092865,5231,5,1477.0,1329.0
2017-05-22,1427.0,1428.0,1427.0,1428.0,11382385,7852,3,1335.0,1428.0
2017-05-24,1497.0,1571.0,1497.0,1519.0,16324360,10584,4,1428.0,1517.0
2017-05-27,1477.0,1670.0,1477.0,1562.0,12689000,8000,6,1519.0,1670.0
2017-05-29,1497.0,1717.0,1497.0,1608.0,20883424,12788,8,1562.0,1717.0
2017-05-30,1769.0,1769.0,1499.0,1702.0,16017594,9268,3,1608.0,1769.0
2017-05-31,1822.0,1871.0,1546.0,1842.0,24010950,12835,8,1702.0,1871.0
2017-06-03,2019.0,2027.0,2019.0,2026.0,46841900,22770,7,1842.0,2027.0
2017-06-07,2228.0,2228.0,2228.0,2228.0,55873662,24701,11,2026.0,2228.0
2017-06-11,2450.0,2450.0,2450.0,2450.0,596373600,239700,14,2228.0,2450.0
